latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1.49107,127.63165,306.9,1.06,1.03,2025-11-23,0043,T,51,6.1NRT,287.32,6.05,D
0.51077,127.89805,309.86,1.11,1.05,2025-11-23,0043,T,57,6.1NRT,292.68,5.36,D
0.48892,127.98397,315.71,1.12,1.05,2025-11-23,0043,T,43,6.1NRT,293.98,10.28,D
0.48749,127.99376,317.19,1.12,1.05,2025-11-23,0043,T,48,6.1NRT,295.55,12.05,D
-3.62795,128.25192,309.86,1.29,1.13,2025-11-23,0047,T,0,6.1NRT,292.23,7.51,D
35.02615,136.86554,303.32,1.17,1.08,2025-11-23,0034,T,0,6.1NRT,275.56,8.77,D
-8.29562,123.59877,313.6,1.01,1,2025-11-23,0047,T,0,6.1NRT,294.65,7.34,D
-10.54254,-138.65437,313.92,1.86,1.33,2025-11-23,0043,A,36,6.1NRT,303.65,21.83,D
-28.52356,128.29956,330.33,2.87,1.62,2025-11-23,0052,T,59,6.1NRT,311.49,56.09,D
-28.53798,128.29855,330.83,2.87,1.62,2025-11-23,0052,T,43,6.1NRT,311.23,56.17,D
-28.55475,128.32635,340.33,2.88,1.62,2025-11-23,0052,T,85,6.1NRT,310.93,116.38,D
-28.55713,128.35542,339.91,2.9,1.62,2025-11-23,0052,T,85,6.1NRT,311.86,112.62,D
-28.57158,128.35417,327.78,2.9,1.62,2025-11-23,0052,T,23,6.1NRT,309.5,39.49,D
-28.54065,128.29303,329.81,2.87,1.62,2025-11-23,0052,T,22,6.1NRT,310.66,48.83,D
-28.55723,128.32076,332.35,2.88,1.62,2025-11-23,0052,T,63,6.1NRT,310.52,65.23,D
-28.55942,128.34985,345.74,2.9,1.62,2025-11-23,0052,T,90,6.1NRT,311.96,166.6,D
-28.68677,129.05307,333.13,3.26,1.71,2025-11-23,0052,T,78,6.1NRT,308.4,99.16,D
-28.70197,129.05164,327.62,3.26,1.71,2025-11-23,0052,T,67,6.1NRT,307.77,60.61,D
-28.69968,129.04535,327.96,3.26,1.71,2025-11-23,0052,T,61,6.1NRT,308.11,60.77,D
-28.70194,129.07802,324.3,3.28,1.71,2025-11-23,0052,T,42,6.1NRT,305.21,37.74,D
-33.36986,-60.15788,300.24,1.03,1.01,2025-11-23,0124,T,13,6.1NRT,288.42,4.81,N
-33.2574,-60.28609,302.52,1.04,1.02,2025-11-23,0124,T,50,6.1NRT,289.43,6.65,N
-31.51785,-68.62219,308.85,2.96,1.64,2025-11-23,0126,T,76,6.1NRT,292.63,36.5,N
-31.51687,-68.62729,306.48,2.96,1.64,2025-11-23,0126,T,68,6.1NRT,292.7,29.35,N
-30.18873,-61.11297,305.89,1.04,1.02,2025-11-23,0126,T,66,6.1NRT,287.14,8.78,N
-30.63464,-66.60912,308.34,2.09,1.41,2025-11-23,0126,T,74,6.1NRT,291.11,22.5,N
-30.63357,-66.61551,312.43,2.09,1.41,2025-11-23,0126,T,85,6.1NRT,291.72,31.07,N
-30.09533,-67.27614,312.03,2.29,1.47,2025-11-23,0126,T,41,6.1NRT,289.4,34.61,N
-30.08214,-67.27627,307.27,2.29,1.47,2025-11-23,0126,T,26,6.1NRT,288.86,24.1,N
-30.06704,-67.25251,314.64,2.29,1.46,2025-11-23,0126,T,76,6.1NRT,288.48,40.94,N
-30.06897,-67.27668,309.3,2.29,1.47,2025-11-23,0126,T,30,6.1NRT,288.07,27.88,N
-30.08257,-67.25888,318.16,2.29,1.46,2025-11-23,0126,T,62,6.1NRT,289.44,49.09,N
-30.06937,-67.25888,319.06,2.29,1.46,2025-11-23,0126,T,98,6.1NRT,288.58,54.08,N
-26.70259,-61.34926,300.75,1.01,1.01,2025-11-23,0126,T,33,6.1NRT,279.2,7.25,N
-26.65948,-62.44004,310.62,1.08,1.04,2025-11-23,0126,T,80,6.1NRT,290.08,11.91,N
-26.66081,-62.4507,300.72,1.08,1.04,2025-11-23,0126,T,32,6.1NRT,290.48,4.88,N
-24.96231,-58.21163,301.55,1.19,1.08,2025-11-23,0126,T,42,6.1NRT,290.43,5.09,N
-24.96414,-58.22313,306.59,1.18,1.08,2025-11-23,0126,T,69,6.1NRT,290.43,8.94,N
-25.17301,-59.64026,303.13,1.04,1.02,2025-11-23,0126,T,53,6.1NRT,290.79,5.2,N
-25.0413,-62.9063,316.46,1.08,1.04,2025-11-23,0126,T,86,6.1NRT,292.09,16.65,N
